Default Dataset,,Dataset 1,
X,Y,X,Y
4.177852348993288,0,4.228187919463088,0.48354430379746827
4.706375838926175,0,4.731543624161074,0.6354430379746834
5.20973154362416,0,5.20973154362416,0.7696202531645568
5.7130872483221475,0,5.7130872483221475,0.8746835443037974
6.216442953020134,0.022784810126582178,6.216442953020134,0.8898734177215188
6.71979865771812,0.14177215189873404,6.744966442953019,0.9037974683544302
7.223154362416108,0.2949367088607594,7.223154362416108,0.9341772151898733
7.726510067114094,0.42911392405063276,7.751677852348993,0.9594936708860757
8.22986577181208,0.5658227848101265,8.255033557046978,0.9759493670886075
8.733221476510067,0.6708860759493669,8.758389261744966,0.9784810126582277
9.236577181208052,0.7632911392405062,9.211409395973156,0.9848101265822783
9.73993288590604,0.8303797468354429,9.765100671140939,0.9835443037974682
10.243288590604028,0.870886075949367,10.243288590604028,0.9797468354430379
10.721476510067113,0.8924050632911391,10.746644295302012,0.9822784810126581
11.25,0.9126582278481011,11.25,0.9873417721518986
11.70302013422819,0.9189873417721517,11.728187919463089,0.9822784810126581
12.206375838926174,0.9278481012658226,12.181208053691275,0.9873417721518986
12.709731543624162,0.9329113924050632,12.734899328859061,0.9886075949367087
13.238255033557046,0.931645569620253,13.213087248322147,0.9873417721518986
13.716442953020135,0.9379746835443037,13.741610738255037,0.9886075949367087
14.219798657718123,0.9455696202531644,14.219798657718123,0.9886075949367087
14.697986577181208,0.9531645569620252,14.748322147651006,0.9886075949367087
15.201342281879192,0.9569620253164556,15.226510067114095,0.9898734177215188
15.679530201342285,0.9632911392405061,15.704697986577184,0.9898734177215188
16.23322147651007,0.9607594936708859,16.23322147651007,0.9898734177215188
16.711409395973156,0.9645569620253163,16.736577181208055,0.9886075949367087
17.23993288590604,0.9658227848101264,17.18959731543624,0.9898734177215188
17.71812080536913,0.9670886075949365,17.71812080536913,0.9924050632911391
18.221476510067113,0.9696202531645568,18.246644295302012,0.9886075949367087
18.7248322147651,0.9696202531645568,18.699664429530202,0.9924050632911391
19.22818791946309,0.9721518987341771,19.20302013422819,0.9936708860759492
19.731543624161073,0.9683544303797467,19.756711409395972,0.9886075949367087
20.23489932885906,0.9734177215189872,20.23489932885906,0.9936708860759492
20.71308724832215,0.9759493670886075,20.788590604026847,0.9924050632911391
21.241610738255037,0.9759493670886075,21.241610738255037,0.9936708860759492
21.74496644295302,0.9759493670886075,21.719798657718123,0.9924050632911391
22.223154362416107,0.9759493670886075,22.298657718120808,0.9898734177215188
22.726510067114095,0.9772151898734176,22.701342281879192,0.9936708860759492
23.229865771812083,0.9772151898734176,23.280201342281877,0.9924050632911391
23.75838926174497,0.9784810126582277,23.733221476510067,0.9924050632911391
24.236577181208055,0.9784810126582277,24.236577181208055,0.991139240506329
24.71476510067114,0.9797468354430379,24.71476510067114,0.9936708860759492
25.19295302013423,0.981012658227848,25.16778523489933,0.9924050632911391
25.696308724832218,0.981012658227848,25.696308724832218,0.9924050632911391
26.174496644295303,0.9822784810126581,26.199664429530202,0.9974683544303796
26.677852348993287,0.981012658227848,26.677852348993287,0.9936708860759492
27.181208053691275,0.981012658227848,27.206375838926174,0.9936708860759492
27.734899328859058,0.9848101265822783,27.70973154362416,0.9962025316455695
28.187919463087248,0.9822784810126581,28.238255033557053,0.991139240506329
28.666107382550337,0.9860759493670884,28.716442953020135,0.9949367088607594
29.194630872483224,0.9835443037974682,29.194630872483224,0.9949367088607594
29.647651006711413,0.9860759493670884,29.672818791946312,0.9949367088607594
30.2013422818792,0.9873417721518986,30.2013422818792,0.9936708860759492
